position,token_id,step_time_sec,speed_it_s
0,32013,0.09182358300313354,10.89044848060301
1,2891,0.045413416024530306,22.019924672917018
2,3221,0.04751270799897611,21.04700073128961
3,4165,0.043850709014805034,22.80464837324241
4,2135,0.04446887501399033,22.487638818957993
5,508,0.04353816600632854,22.968353785380945
6,327,0.04231183300726116,23.63405054629492
7,853,0.040517125016776845,24.68092194562008
8,276,0.04072187500423752,24.55682602768021
9,4873,0.0395742499968037,25.26895645731169
10,372,0.042438291013240814,23.563625587279148
11,254,0.039881540986243635,25.074256793260087
12,8499,0.03857816700474359,25.92139745460274
13,486,0.04194333401392214,23.84169078376251
14,25,0.050213250011438504,19.915062254926767
15,7884,0.053491166996536776,18.694675329568785
16,422,0.03774425000301562,26.494101748480993
17,592,0.04032508298405446,24.798461056990877
18,25174,0.039165333000710234,25.532784311622365
19,375,0.040189042018027976,24.882404500993594
20,1142,0.04258020801353268,23.485089590971086
21,302,0.041623333003371954,24.024986175878535
22,29871,0.04173258400987834,23.96209158204281
23,473,0.04262945899972692,23.45795662118081
24,1758,0.04205874999752268,23.776265344521683
25,185,0.04208475002087653,23.761576331187445
26,185,0.04067545902216807,24.584848555857757
27,45,0.04319270799169317,23.152056133927054
28,70,0.04143212499911897,24.13586076073251
29,998,0.042828167002880946,23.349119749456765
30,72,0.04500195800210349,22.22125534967296
31,716,0.041565291001461446,24.05853479925931
32,2901,0.044702791987219825,22.369967412458088
33,185,0.041713957994943485,23.97279107681939
34,185,0.04085262501030229,24.478231196840305
35,50,0.04074758299975656,24.541332917978824
36,3322,0.04094279199489392,24.42432358117425
37,2831,0.0438782500277739,22.7903346046623
38,46,0.046669957984704524,21.427060215647444
39,1369,0.04540383300627582,22.02457223956792
40,207,0.04590158400242217,21.785740551943288
41,887,0.04450441699009389,22.469679812288906
42,20622,0.04345295802340843,23.0133929998803
43,12633,0.045913249981822446,21.780205069253665
44,24749,0.0435090420069173,22.983728298155008
45,422,0.04319633299019188,23.150113233617752
46,592,0.04463287501130253,22.405009754508683
47,638,0.04176862500025891,23.941415356473943
48,6911,0.041496916994219646,24.09817577868004
49,8185,0.04169216699665412,23.985320793717726
50,407,0.04109254197101109,24.33531614338812
51,486,0.04425158302183263,22.598061622035644
52,13584,0.04464887498761527,22.39698089318892
53,8046,0.04245733399875462,23.553056817682723
54,375,0.04194070800440386,23.84318356988628
55,1142,0.045797750004567206,21.835133819898893
56,302,0.04607429201132618,21.704077400780804
57,29871,0.045225749985547736,22.111297221595184
58,372,0.04246312502073124,23.549844706713944
59,13114,0.04153929199674167,24.0735927824297
60,250,0.04199779100599699,23.810776139564272
61,280,0.041662708012154326,24.002280401654843
62,254,0.042659583006752655,23.44139181673924
63,10987,0.04403504100628197,22.70918743682654
64,3185,0.047764332994120196,20.93612403470808
65,334,0.043788959010271356,22.8368068710068
66,3932,0.04728033300489187,21.150443248708395
67,650,0.04814141700626351,20.77213472694195
68,285,0.04229166699224152,23.64532001501506
69,3625,0.041023625002708286,24.376197859988782
70,254,0.04180899998755194,23.918295111046337
71,18233,0.04192320798756555,23.853136436901504
72,4697,0.042755415983265266,23.388849739911457
73,276,0.042258333996869624,23.66397123166467
74,2424,0.043249832990113646,23.12147656682483
75,17575,0.044813582993810996,22.314662948019702
76,1903,0.04076954201445915,24.528114631391844
77,14617,0.042004749993793666,23.806831373779232
78,276,0.04434204098652117,22.551961473852185
79,3278,0.042604667018167675,23.4716069855346
80,254,0.04548124998109415,21.987082598118665
81,3286,0.043031917011830956,23.238564987124917
82,13,0.042890624987194315,23.315118404046714
83,207,0.047055582981556654,21.251463410663685
84,185,0.044453291018726304,22.495522313044088
85,769,0.044265624979743734,22.590893056578487
86,245,0.042256624990841374,23.664928285605825
87,6158,0.042257332999724895,23.664531786861946
88,331,0.042307249997975305,23.63661074751625
89,4874,0.04332891700323671,23.079275208408717
90,207,0.04322983301244676,23.132173555055818
91,16,0.044666584028163925,22.388101122070655
92,20,0.04384712499449961,22.806512402476667
93,11,0.04224904198781587,23.66917574813621
94,7884,0.04155141598312184,24.066568523349464
95,422,0.04407725000055507,22.687440799673457
96,592,0.0461490000016056,21.668941904812854
97,989,0.043417332984972745,23.032276080755857
98,25,0.04367962499964051,22.89396944246271
99,207,0.04873025001143105,20.521134198273593
100,786,0.04726362499059178,21.157920074879115
101,19041,0.045098708011209965,22.173584213353404
102,4818,0.04212570798699744,23.738473435477
103,254,0.041815125005086884,23.914791594628696
104,3487,0.04214487501303665,23.727677438613128
105,10666,0.04317491699475795,23.16159635284103
106,11,0.04718299998785369,21.194074142327317
107,303,0.04299441698822193,23.258833821934235
108,463,0.04313100001309067,23.185180025886034
109,6139,0.04277604099479504,23.37757250891169
110,344,0.04397099997731857,22.74226195710416
111,2185,0.04196375000174157,23.830091446986938
112,29871,0.0439462500216905,22.755070102828594
113,486,0.04381808399921283,22.821627710101712
114,82,0.04395375002059154,22.751187316930135
115,14625,0.0419626250222791,23.830730309866762
116,5881,0.043157749983947724,23.170809422918115
117,27388,0.04724549999809824,21.16603697791859
118,11,0.04404274999978952,22.705212549279484
119,3427,0.043212249991483986,23.141586013157706
120,2843,0.04338945899507962,23.04707233416762
121,365,0.04410508301225491,22.67312363344023
122,19297,0.06237374999909662,16.032385418777665
123,486,0.04303875000914559,23.234875543260515
124,82,0.044275375024881214,22.585918231929938
125,4818,0.041832582995994017,23.904811235198224
126,2334,0.04120120801962912,24.271133009585036
127,280,0.043170624994672835,23.16389906616821
128,583,0.041483707987936214,24.105848982709254
129,5199,0.04118929198011756,24.278154635013124
130,2407,0.04461191699374467,22.41553529610074
131,2274,0.04568083302001469,21.891019359516893
132,11,0.04344887498882599,23.015555644586332
133,1098,0.043471416021930054,23.003621494536304
134,359,0.04374145797919482,22.861606498705182
135,637,0.043087458005174994,23.208609797307968
136,4165,0.044603958987863734,22.41953455907556
137,2135,0.046734250005101785,21.397583140648113
138,508,0.0460992919979617,21.69230711925501
139,327,0.04664745900663547,21.43739490414157
140,853,0.04828633400029503,20.709793375365585
141,276,0.04814620898105204,20.77006728387588
142,4873,0.04897462500957772,20.418737250248164
143,372,0.046071749995462596,21.70527492657617
144,254,0.04368358402280137,22.89189457252485
145,8499,0.04433904099278152,22.55348734680125
146,13,0.046416625002166256,21.544004975659693
147,971,0.04500850001932122,22.21802547453749
148,185,0.04523062499356456,22.108914040924276
149,8649,0.0451790829829406,22.134136728219897
150,29871,0.04568558299797587,21.888743327283482
151,486,0.04310020798584446,23.201744184817695
152,82,0.04804854199755937,20.812286042952046
153,1811,0.04310370798339136,23.199860215861666
154,335,0.0458060409873724,21.831181618068136
155,372,0.04296399999293499,23.27530025520064
156,254,0.04408645798685029,22.682702255152158
157,8499,0.043839249992743134,22.810609218121513
158,23912,0.042353833006927744,23.61061393986305
159,365,0.043178791005630046,23.15951828918996
160,12415,0.04153129199403338,24.078229980027242
161,1930,0.04449933298747055,22.472246949893943
162,13,0.043750083015765995,22.85709948572292
163,185,0.04325312498258427,23.119716792778483
164,11923,0.04349616699619219,22.990531558505918
165,422,0.043541167018702254,22.966770724598852
166,592,0.0452133750077337,22.11734912133746
167,989,0.042501999996602535,23.528304552254873
168,583,0.04251675002160482,23.52014204970633
169,6357,0.04300062500988133,23.255475932505746
170,438,0.04612270800862461,21.6812941645362
171,4362,0.04384437500266358,22.807942864717518
172,276,0.04505841701757163,22.193411712844366
173,578,0.04364808401442133,22.91051308620099
174,6616,0.04501558298943564,22.21452958267101
175,254,0.04267600001185201,23.43237416164306
176,6292,0.04404137498931959,22.705921425988823
177,280,0.042870249977568164,23.326199416221026
178,2742,0.04209358402295038,23.756589589871396
179,11,0.045119874994270504,22.163181970849518
180,372,0.0427047919947654,23.41657582883383
181,1134,0.041558458004146814,24.062490477876185
182,372,0.04635570902610198,21.57231592417063
183,254,0.043531333009013906,22.971959066655113
184,22944,0.04303162498399615,23.238722692250384
185,285,0.0449202919844538,22.26165405038071
186,18820,0.04268812501686625,23.425718501454348
187,280,0.04396279199863784,22.7465080022894
188,19297,0.04286458299611695,23.329283294102936
189,13,0.04312320801545866,23.189369391106606
190,207,0.043741832982050255,22.861410503998687
191,185,0.04539316601585597,22.029747818222177
192,1559,0.046595416992204264,21.461338143348023
193,2445,0.04294841701630503,23.283745233738365
194,344,0.04318924999097362,23.153909831937252
195,2185,0.04197441699216142,23.824035487776914
196,29871,0.04532850001123734,22.061175634580696
197,540,0.04379441597848199,22.83396130893357
198,637,0.043861249985639006,22.799167837839065
199,4165,0.045257583988131955,22.095744224045042
200,330,0.04396175002329983,22.747047136885993
201,2017,0.042554042011033744,23.499530308794455
202,254,0.0447633329895325,22.339712733943223
203,24769,0.04328216699650511,23.104203633814052
204,280,0.04405349999433383,22.699671992659383
205,254,0.04404704199987464,22.70300012434084
206,3286,0.04342283299774863,23.029358771958698
207,11,0.04518987500341609,22.12885076412373
208,585,0.046995375014375895,21.278689651781686
209,3417,0.043838332989253104,22.811086366927967
210,254,0.04459075001068413,22.42617582705821
211,1327,0.0432216250046622,23.136566473197913
212,280,0.04906333301914856,20.381819547598152
213,1019,0.04468791600083932,22.377414063820254
214,10864,0.04363337499671616,22.91823632884827
215,2310,0.04458891699323431,22.427097750585304
216,27137,0.04315104099805467,23.174411946286114
217,662,0.04651604199898429,21.497959779592502
218,5163,0.04580687498673797,21.83078414079809
219,980,0.04618587499135174,21.6516413337898
220,11,0.044769875006750226,22.33644833382322
221,686,0.042830083024455234,23.348075216875422
222,761,0.04260349998367019,23.472249941514132
223,327,0.044311750010820106,22.56737772161602
224,583,0.04265654197661206,23.443062978435638
225,871,0.042142917023738846,23.72877984304471
226,865,0.046040415996685624,21.720047014170948
227,1215,0.04691487501258962,21.31520119645741
228,285,0.044844624993856996,22.299216464336233
229,9685,0.04218658301397227,23.704218937779302
230,254,0.04588324998621829,21.79444569206333
231,1998,0.04336974999750964,23.057545871429316
232,645,0.04806916700908914,20.803356126618866
233,280,0.04598900000564754,21.744330163238992
234,274,0.04206116701243445,23.774899058420612
235,19217,0.043201499996939674,23.147344422551033
236,14617,0.04318908302229829,23.153999344781305
237,13,0.043144666007719934,23.17783616220528
238,185,0.04556920798495412,21.94464297756012
239,546,0.04546820800169371,21.993389314193987
240,2927,0.04381712499889545,22.822127193995684
241,2363,0.04509995802072808,22.17296964091179
242,245,0.046378875005757436,21.561540677212648
243,1486,0.04514145801658742,22.152585315975966
244,1164,0.04623949999222532,21.62653143239307
245,254,0.043127624987391755,23.186994421611377
246,5985,0.04336829201201908,23.058321036089225
247,331,0.043436374980956316,23.022179001779662
248,4874,0.04367675000685267,22.895476422652894
249,207,0.0459016669774428,21.78570117053536
250,16,0.04636570898583159,21.56766329844281
251,19,0.046035958017455414,21.72215031608185
252,13635,0.04550229202141054,21.976914910779932
253,245,0.04514316699351184,22.15174668945411
254,7751,0.04703033299301751,21.26287305149355
255,8475,0.048614832980092615,20.569853657822748
256,457,0.04934375002630986,20.265991122823145
257,13114,0.047836874990025535,20.904375551465474
258,250,0.04811458400217816,20.783719130871624
259,280,0.0467980420216918,21.36841536097772
260,254,0.04847758400137536,20.628090706245363
261,5985,0.049102374992799014,20.36561368256938
262,2325,0.05040679199737497,19.838596355270475
263,6743,0.05793716700281948,17.26007762773999
264,1626,0.05187162500806153,19.278362685660742
265,26020,0.04778104097931646,20.928803129946076
266,2051,0.04810629101120867,20.787302013514243
267,13,0.05115637500421144,19.547905806806583
268,804,0.09135670799878426,10.946103706071673
269,989,0.047155542008113116,21.206415140514128
270,2185,0.04510195797774941,22.17198642447718
271,29871,0.04778483300469816,20.927142298513022
272,486,0.04821895799250342,20.73873102267099
273,82,0.05318329102010466,18.802898068530098
274,5573,0.04887795800459571,20.459119832828854
275,285,0.04931195799144916,20.27905686027318
276,6519,0.04775587501353584,20.93983200426255
277,26799,0.04960091700195335,20.160917588693344
278,279,0.04742929199710488,21.084017026040378
279,7789,0.050195999996503815,19.921906129365897
280,276,0.5434112079965416,1.8402270422187614
281,5669,0.054530833003809676,18.338249113673676
282,422,0.043125957978190854,23.18789070159805
283,47,0.04672029198263772,21.403975822146442
284,14617,0.04379279201384634,22.83480805891119
285,14564,0.05173575002118014,19.328993966273018
286,5801,0.07507845899090171,13.319399644592915
287,2051,0.04424804198788479,22.599870075014895
288,22829,0.046924333000788465,21.310904941007838
289,486,0.07121895800810307,14.041205150547459
290,82,0.04803554201498628,20.817918525578765
291,9282,0.04428699999698438,22.57998961474231
292,279,0.04533308299141936,22.05894534438083
293,19297,0.04485674999887124,22.293188874030413
294,279,0.0455530000035651,21.952450989435103
295,207,0.04467070798273198,22.386034275224883
296,17,0.04764912501559593,20.986744240795446
297,15,0.04873420798685402,20.5194675631078
298,17,0.04804033300024457,20.815842387997375
299,16,0.04733079200377688,21.127894921348506
300,7202,0.04561375000048429,21.923213942931305
301,344,0.045205041009467095,22.121426674307724
302,362,0.0493841250136029,20.249422253093464
303,658,0.07139308299520053,14.00695919053147
304,14890,0.05001816700678319,19.992735836648823
305,2567,0.04883699998026714,20.476278239942168
306,280,0.05263550000381656,18.998584604069322
307,254,0.04922529202303849,20.31476013452553
308,7271,0.048119917017174885,20.78141572112607
309,285,0.052471375005552545,19.058010198783233
310,10789,0.04868758301017806,20.5391177416006
311,4052,0.047709083009976894,20.960369324031664
312,280,0.04881449998356402,20.48571634118352
313,274,0.0473153339989949,21.13479744264814
314,8499,0.04883883299771696,20.475509724950765
315,13,0.04637883300893009,21.56156020155689
316,185,0.04925770900445059,20.30139079163521
317,3301,0.04832470900146291,20.69334757855919
318,375,0.045855875010602176,21.80745650952672
319,2831,0.048191458015935495,20.750565373418034
320,14617,0.0456713339954149,21.895572397784427
321,82,0.046912250021705404,21.316393895780294
322,285,0.047301166981924325,21.14112745637206
323,461,0.04559245900600217,21.933451755000792
324,7521,0.04870495799696073,20.531790625143373
325,612,0.04985462498734705,20.058319569223453
326,14617,0.04733391699846834,21.126500053489313
327,82,0.0469081670162268,21.318249328609944
328,10915,0.047776166000403464,20.930938660744673
329,276,0.04779362500994466,20.92329258958543
330,254,0.04676699999254197,21.38259884447307
331,7751,0.04713641700800508,21.21501937302897
332,11,0.04719499999191612,21.188685245710072
333,1470,0.04716874999576248,21.200477012637336
334,254,0.0469714580103755,21.28952436986543
335,207,0.045591458008857444,21.933933321582334
336,16,0.04732204199535772,21.131801541829063
337,16,0.048387124988948926,20.666654615838173
338,422,0.04621704199234955,21.637040297073383
339,47,0.04736445899470709,21.11287706488421
340,14617,0.047059625008841977,21.249638088108675
341,82,0.0467526669963263,21.389154122022116
342,1819,0.04627870800322853,21.60820911271415
343,279,0.0458433750027325,21.81340269865373
344,254,0.04638050001813099,21.560785235370073
345,5985,0.0461277500144206,21.67892428499931
346,6195,0.04608895897399634,21.697170477732115
347,8909,0.047924584010615945,20.86611747696102
348,13,0.05688183297752403,17.58030547987324
349,32022,0.006834917003288865,146.30755567606954
